,Pre-Processing Technique,N_Grams,No_of_Features,Classifier Applied,Accuracy,Precision,Recall,F-Score
80,Stemming,"(1, 2)",2000,LogReg,0.8650137741046832,0.8696059135588811,0.8091615945384308,0.8334830116997942
81,Stemming,"(1, 2)",3000,LogReg,0.859504132231405,0.8646881655659059,0.8021903541206709,0.8273712007239702
51,Stemming,"(1, 1)",3000,LogReg,0.8567493112947658,0.8478739403882963,0.8000451850012639,0.8204040957748598
130,Lemmatizing,"(1, 2)",2000,LogReg,0.8567493112947658,0.8572638478853484,0.7985671657148737,0.822137547032053
50,Stemming,"(1, 1)",2000,LogReg,0.8567493112947658,0.8478739403882963,0.8000451850012639,0.8204040957748598
86,Stemming,"(1, 2)",2000,SVM,0.8539944903581267,0.8739802129833056,0.7908873931609594,0.8233627710343397
0,None,"(1, 1)",2000,LogReg,0.8512396694214877,0.8409144568253145,0.7953773730513968,0.81479756287415
30,None,"(1, 2)",2000,LogReg,0.8512396694214877,0.8569340329835082,0.7895676332230549,0.8162112302548138
137,Lemmatizing,"(1, 2)",3000,SVM,0.8512396694214877,0.8702301559444416,0.7738915694182543,0.8096283396406672
100,Lemmatizing,"(1, 1)",2000,LogReg,0.8484848484848485,0.8363924517175292,0.789725892571541,0.8095346909896027
136,Lemmatizing,"(1, 2)",2000,SVM,0.8484848484848485,0.8691219990821187,0.7824381334568091,0.8144246028839439
1,None,"(1, 1)",3000,LogReg,0.8484848484848485,0.8338247579733649,0.7879727368913166,0.8074228647627324
31,None,"(1, 2)",3000,LogReg,0.8457300275482094,0.840218625189774,0.7881309962398025,0.8097285314008119
87,Stemming,"(1, 2)",3000,SVM,0.8457300275482094,0.8654093917988361,0.7651671733202701,0.8010774038928244
101,Lemmatizing,"(1, 1)",3000,LogReg,0.8457300275482094,0.8271827999734976,0.7881309962398025,0.8050096850196048
131,Lemmatizing,"(1, 2)",3000,LogReg,0.8457300275482094,0.841334031779291,0.7878558598459685,0.810207180822215
36,None,"(1, 2)",2000,SVM,0.8429752066115702,0.8544871327549756,0.7792483407933323,0.8073318216175359
37,None,"(1, 2)",3000,SVM,0.8429752066115702,0.8583234946871311,0.7691068804230389,0.8026335235085987
53,Stemming,"(1, 1)",3000,RndFrst,0.8402203856749312,0.8655321598336304,0.7495324918186067,0.7891601187795071
6,None,"(1, 1)",2000,SVM,0.8402203856749312,0.8160801608302144,0.7881723785429403,0.8001328300757226
57,Stemming,"(1, 1)",3000,SVM,0.837465564738292,0.8136446347687287,0.800225253941944,0.8061363350205232
106,Lemmatizing,"(1, 1)",2000,SVM,0.8347107438016529,0.8031993232304923,0.7872860143473565,0.7943964310137094
107,Lemmatizing,"(1, 1)",3000,SVM,0.8347107438016529,0.8059693318729463,0.7872860143473565,0.795698509141132
3,None,"(1, 1)",3000,RndFrst,0.8347107438016529,0.8453994063750162,0.7373017843601737,0.7742461694542792
2,None,"(1, 1)",2000,RndFrst,0.8347107438016529,0.8523320121131338,0.7387798036465637,0.7772462078029835
103,Lemmatizing,"(1, 1)",3000,RndFrst,0.8347107438016529,0.8453994063750162,0.7373017843601737,0.7742461694542792
56,Stemming,"(1, 1)",2000,SVM,0.8319559228650137,0.8029244025569057,0.783387689547725,0.7914564121553042
82,Stemming,"(1, 2)",2000,RndFrst,0.8319559228650137,0.8622469250167258,0.7284191289137033,0.769223252558957
102,Lemmatizing,"(1, 1)",2000,RndFrst,0.8292011019283747,0.8450605708002424,0.7318085632288039,0.7700057490546387
7,None,"(1, 1)",3000,SVM,0.8292011019283747,0.8004749660337529,0.7765333261753135,0.7873012190181564
135,Lemmatizing,"(1, 2)",3000,NaiveBayes,0.8292011019283747,0.8349726154604203,0.757626087403898,0.784876699511428
32,None,"(1, 2)",2000,RndFrst,0.8292011019283747,0.8743735807689297,0.7247959405079062,0.7694596469237543
104,Lemmatizing,"(1, 1)",2000,NaiveBayes,0.8292011019283747,0.8330423280423281,0.7654641193062984,0.7891378239696701
35,None,"(1, 2)",3000,NaiveBayes,0.8264462809917356,0.8338186422463477,0.7537277626042665,0.7835831731795858
111,Lemmatizing,"(2, 2)",3000,LogReg,0.8236914600550964,0.8653311965811966,0.7268656148851026,0.771707956427921
134,Lemmatizing,"(1, 2)",2000,NaiveBayes,0.8236914600550964,0.8454666585912424,0.7465982628380207,0.7796678292642417
85,Stemming,"(1, 2)",3000,NaiveBayes,0.8236914600550964,0.84796918767507,0.7521328662725283,0.7860006854901366
52,Stemming,"(1, 1)",2000,RndFrst,0.8236914600550964,0.8607475317645227,0.7207807386629265,0.7649428273127586
132,Lemmatizing,"(1, 2)",2000,RndFrst,0.8236914600550964,0.8628767552248423,0.7120149602618046,0.7543759343514834
84,Stemming,"(1, 2)",2000,NaiveBayes,0.8236914600550964,0.8486889963499555,0.7579426061008698,0.7907348823679139
34,None,"(1, 2)",2000,NaiveBayes,0.8236914600550964,0.8470468861614391,0.7541611583465868,0.7868961858800391
110,Lemmatizing,"(2, 2)",2000,LogReg,0.8236914600550964,0.8494277249998073,0.7291690433529955,0.7690064407137577
140,Lemmatizing,"(2, 3)",2000,LogReg,0.8236914600550964,0.8593908964531737,0.7332256275011129,0.7740461401952085
60,Stemming,"(2, 2)",2000,LogReg,0.8236914600550964,0.8494277249998073,0.7291690433529955,0.7690064407137577
61,Stemming,"(2, 2)",3000,LogReg,0.8209366391184573,0.8604164604164604,0.7252707185533641,0.7693303953945941
10,None,"(2, 2)",2000,LogReg,0.8209366391184573,0.8495995995995997,0.7275741470212571,0.7675008630239533
133,Lemmatizing,"(1, 2)",3000,RndFrst,0.8181818181818182,0.8428519794191436,0.7082748948106592,0.7495739119828914
67,Stemming,"(2, 2)",3000,SVM,0.8181818181818182,0.8801358234295416,0.714084634639001,0.7640836862540605
90,Stemming,"(2, 3)",2000,LogReg,0.8181818181818182,0.853676910292553,0.7280075427635774,0.7686286108646357
117,Lemmatizing,"(2, 2)",3000,SVM,0.8181818181818182,0.8800022933149868,0.7123314789587765,0.7622109036030936
11,None,"(2, 2)",3000,LogReg,0.8181818181818182,0.8552882552882553,0.7216475301475671,0.7650841108935326
115,Lemmatizing,"(2, 2)",3000,NaiveBayes,0.8154269972451791,0.8378848728246319,0.7415384374489711,0.7755735642438119
105,Lemmatizing,"(1, 1)",3000,NaiveBayes,0.8154269972451791,0.8249940925669081,0.7368292431959663,0.7607046318053966
40,None,"(2, 3)",2000,LogReg,0.8154269972451791,0.8501831501831502,0.7246594907516145,0.7643495122371209
5,None,"(1, 1)",3000,NaiveBayes,0.8154269972451791,0.8127107305325127,0.746145294384757,0.7671656138261659
