,Pre-Processing Technique,Model,No_of_Features,Classifier Applied,Accuracy,Precision,Recall,F-Score
54,Lemmatizing,Skipgram,400,NaiveBayes,0.7272727272727273,0.6919175627240143,0.5721763288752291,0.573037147025112
53,Lemmatizing,Skipgram,800,RndFrst,0.7245179063360881,0.6579653607791057,0.5647716927151488,0.5632684203452011
52,Lemmatizing,Skipgram,400,RndFrst,0.721763085399449,0.668351281133236,0.5707396918919766,0.5739766081871345
55,Lemmatizing,Skipgram,800,NaiveBayes,0.7134986225895317,0.617413094269966,0.5505540754857947,0.545195787296677
13,None,Skipgram,800,RndFrst,0.7107438016528925,0.6154126766985865,0.5524654905145051,0.5553049451732134
57,Lemmatizing,Skipgram,800,SVM,0.7079889807162535,0.6330226115603473,0.5981034602316067,0.6010783668029656
15,None,Skipgram,800,NaiveBayes,0.7079889807162535,0.6023106216898112,0.5473642828223179,0.5433651042346694
56,Lemmatizing,Skipgram,400,SVM,0.7052341597796143,0.6214524431773185,0.5883953956036335,0.5888047674461013
14,None,Skipgram,400,NaiveBayes,0.7052341597796143,0.5950747733702869,0.5457693864905794,0.542011311417462
32,Stemming,Skipgram,400,RndFrst,0.7024793388429752,0.611274591453371,0.5476808015192898,0.5487727849910203
37,Stemming,Skipgram,800,SVM,0.7024793388429752,0.6279617110001895,0.5908570834200125,0.5906488661519115
16,None,Skipgram,400,SVM,0.699724517906336,0.609362017411553,0.5738612596773075,0.576591491116978
12,None,Skipgram,400,RndFrst,0.699724517906336,0.5727145808901546,0.5312352505642534,0.5184010582881898
36,Stemming,Skipgram,400,SVM,0.696969696969697,0.617618338639471,0.583335570214584,0.5781337435320973
33,Stemming,Skipgram,800,RndFrst,0.6942148760330579,0.5848735686207842,0.5274951851131079,0.5211512021638603
39,Stemming,Skipgram,800,DecTree,0.6942148760330579,0.43305821503246394,0.5317245683378407,0.4757517698694169
17,None,Skipgram,800,SVM,0.6914600550964187,0.5843759477708429,0.5620639479611946,0.565485214286665
24,Stemming,CBOW,400,NaiveBayes,0.6859504132231405,0.573282943264619,0.5317514109128489,0.5359682064884377
18,None,Skipgram,400,DecTree,0.6804407713498623,0.415900019470405,0.49941058179044445,0.4537742475819961
19,None,Skipgram,800,DecTree,0.6804407713498623,0.41572327044025154,0.4933257055682685,0.4504108372196313
51,Lemmatizing,Skipgram,800,LogReg,0.6804407713498623,0.4186705558717511,0.5054954580126205,0.45799943165672063
50,Lemmatizing,Skipgram,400,LogReg,0.6804407713498623,0.4191334191334191,0.5054954580126205,0.4582812405387018
38,Stemming,Skipgram,400,DecTree,0.6804407713498623,0.414983164983165,0.4933257055682685,0.45009943585372786
34,Stemming,Skipgram,400,NaiveBayes,0.6776859504132231,0.545967197219771,0.51386922297456,0.5070936672503524
35,Stemming,Skipgram,800,NaiveBayes,0.6776859504132231,0.5272967772967773,0.502800016105545,0.48208056326078835
59,Lemmatizing,Skipgram,800,DecTree,0.6776859504132231,0.4176951846657317,0.5059288537549408,0.4575242162531669
23,Stemming,CBOW,800,RndFrst,0.6749311294765841,0.5621396877833916,0.5271249812661195,0.5317192651072254
10,None,Skipgram,400,LogReg,0.6749311294765841,0.4127814088598402,0.4962207891269676,0.450632183908046
22,Stemming,CBOW,400,RndFrst,0.6749311294765841,0.5455712451861361,0.516606047184773,0.5064660702087603
42,Lemmatizing,CBOW,400,RndFrst,0.6721763085399449,0.5693188667872212,0.5174169166381465,0.5236118971263285
11,None,Skipgram,800,LogReg,0.6721763085399449,0.41098991066483664,0.49462589279522917,0.4489288618104581
43,Lemmatizing,CBOW,800,RndFrst,0.6721763085399449,0.5516451647247798,0.5139106052776976,0.5159355112862647
25,Stemming,CBOW,800,NaiveBayes,0.6694214876033058,0.5310692951015531,0.5111128260534032,0.5055120102279236
45,Lemmatizing,CBOW,800,NaiveBayes,0.6666666666666666,0.540779624769126,0.5069393648599377,0.5070124882066777
30,Stemming,Skipgram,400,LogReg,0.6666666666666666,0.4083421828908555,0.493464392205811,0.4468675274988044
31,Stemming,Skipgram,800,LogReg,0.6666666666666666,0.4083421828908555,0.493464392205811,0.4468675274988044
